Name,Flag
Afghanistan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Afghanistan.png
Albania,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Albanie.png
Algeria,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Algerie.png
Andorra,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Andorre.png
Angola,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Angola.png
Antigua and Barbuda,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Antigua_et_Barbuda.png
Argentina,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Argentine.png
Armenia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Armenie.png
Australia,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Australie.png
Austria,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Autriche.png
Azerbaijan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Azerbaidjan.png
Bahamas,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Bahamas.png
Bahrain,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Bahrein.png
Bangladesh,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Bangladesh.png
Barbados,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Barbade.png
Belarus,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Bielorussie.png
Belgium,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Belgique.png
Belize,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Belize.png
Benin,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Benin.png
Bhutan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Bouthan.png
Bolivia,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Bolivie.png
Bosnia and Herzegovina,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Bosnie-Herzegovine.png
Botswana,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Botswana.png
Brazil,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Bresil.png
Brunei,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Brunei.png
Bulgaria,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Bulgarie.png
Burkina Faso,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Burkina_Faso.png
Burundi,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Burundi.png
Cambodia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Cambodge.png
Cameroon,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Cameroun.png
Canada,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Canada.png
Cape Verde,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Cap-Vert.png
Central African Republic,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Rep_centrafricaine.png
Chad,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Tchad.png
Chile,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Chili.png
China,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Chine.png
Colombia,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Colombie.png
Comoros,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Comores.png
Costa Rica,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Costa_Rica.png
Croatia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Croatie.png
Cuba,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Cuba.png
Cyprus,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Chypre.png
Czech Republic,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Rep_Tcheque.png
Democratic Republic of Congo,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/RD_Congo.png
Denmark,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Danemark.png
Djibouti,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Djibouti.png
Dominica,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Dominique.png
Dominican Republic,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Rep_Dominicaine.png
East Timor,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Timor-Oriental.png
Ecuador,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Equateur.png
Egypt,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Egypte.png
El Salvador,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Salvador.png
Equatorial Guinea,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Guinee_Equatoriale.png
Eritrea,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Erythree.png
Estonia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Estonie.png
Ethiopia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Ethiopie.png
Fiji,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Fidji.png
Finland,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Finlande.png
France,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/France.png
Gabon,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Gabon.png
Gambia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Gambie.png
Georgia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Georgie.png
Germany,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Allemagne.png
Ghana,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Ghana.png
Greece,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Grece.png
Grenada,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Grenade.png
Guatemala,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Guatemala.png
Guinea,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Guinee.png
Guinea-Bissau,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Guinee_Bissau.png
Guyana,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Guyana.png
Haiti,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Haiti.png
Honduras,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Honduras.png
Hungary,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Hongrie.png
Iceland,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Islande.png
India,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Inde.png
Indonesia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Indonesie.png
Iran,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Iran.png
Iraq,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Irak.png
Ireland,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Irlande.png
Israel,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Israel.png
Italy,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Italie.png
Ivory Coast,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Cote_d_Ivoire.png
Jamaica,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Jamaique.png
Japan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Japon.png
Jordan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Jordanie.png
Kazakhstan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Kazakhstan.png
Kenya,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Kenya.png
Kiribati,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Kiribati.png
"Korea, North",https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Coree_du_Nord.png
"Korea, South",https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Coree_du_Sud.png
Kosovo,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Kosovo.jpg
Kuwait,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Koweit.png
Kyrgyzstan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Kirghizistan.png
Laos,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Laos.png
Latvia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Lettonie.png
Lebanon,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Liban.png
Lesotho,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Lesotho.png
Liberia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Liberia.png
Libya,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Libye.png
Liechtenstein,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Liechtenstein.png
Lithuania,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Lituanie.png
Luxembourg,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Luxembourg.png
Macedonia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Macedoine.png
Madagascar,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Madagascar.png
Malawi,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Malawi.png
Malaysia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Malaisie.png
Maldives,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Maldives.png
Mali,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Mali.png
Malta,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Malte.png
Marshall Islands,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Marshall.png
Mauritania,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Mauritanie.png
Mauritius,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Maurice.png
Mexico,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Mexique.png
Micronesia,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Micronesie.png
Moldova,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Moldavie.png
Monaco,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Monaco.png
Mongolia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Mongolie.png
Montenegro,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Montenegro.png
Morocco,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Maroc.png
Mozambique,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Mozambique.png
Myanmar,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Birmanie.png
Namibia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Namibie.png
Nauru,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Nauru.png
Nepal,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Nepal.png
Netherlands,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Pays-Bas.png
New Zealand,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Nouvelle-Zelande.png
Nicaragua,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Nicaragua.png
Niger,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Niger.png
Nigeria,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Nigeria.png
Norway,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Norvege.png
Oman,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Oman.png
Pakistan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Pakistan.png
Palau,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Palau.png
Palestine,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Palestine.png
Panama,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Panama.png
Papua New Guinea,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Papouasie-Nouvelle-Guinee.png
Paraguay,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Paraguay.png
Peru,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Perou.png
Philippines,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Philippines.png
Poland,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Pologne.png
Portugal,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Portugal.png
Qatar,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Qatar.png
Republic of the Congo,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Congo.png
Romania,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Roumanie.png
Russia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Russie.png
Rwanda,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Rwanda.png
Saint Kitts and Nevis,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Saint_Kits.png
Saint Lucia,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Sainte_Lucie.png
Saint Vincent and the Grenadines,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Saint_Vincent.png
Samoa,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Samoa.png
San Marino,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Saint-Marin.png
S�o Tom� and Pr�ncipe,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Sao_Tome_et_Principe.png
Saudi Arabia,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Arabie_Saoudite.png
Senegal,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Senegal.png
Serbia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Serbie.png
Seychelles,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Seychelles.png
Sierra Leone,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Sierra_Leone.png
Singapore,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Singapour.png
Slovakia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Slovaquie.png
Slovenia,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Slovenie.png
Solomon Islands,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Salomon.png
Somalia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Somalie.png
South Africa,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Afrique_du_Sud.png
South Sudan,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Soudan_du_Sud.png
Spain,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Espagne.png
Sri Lanka,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Sri_Lanka.png
Sudan,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Soudan.png
Suriname,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Suriname.png
Swaziland,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Swaziland.png
Sweden,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Suede.png
Switzerland,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Suisse.png
Syria,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Syrie.png
Taiwan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Taiwan.png
Tajikistan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Tadjikistan.png
Tanzania,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Tanzanie.png
Thailand,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Thailande.png
Togo,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Togo.png
Tonga,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Tonga.png
Trinidad and Tobago,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Trinite_et_Tobago.png
Tunisia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Tunisie.png
Turkey,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Turquie.png
Turkmenistan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Turkmenistan.png
Tuvalu,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Tuvalu.png
Uganda,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Ouganda.png
Ukraine,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Ukraine.png
United Arab Emirates,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Emirats_Arabes_Unis.png
United Kingdom,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Royaume-Uni.png
United States,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Etats-Unis.png
Uruguay,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Uruguay.png
Uzbekistan,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Ouzbekistan.png
Vanuatu,https://www.sport-histoire.fr/Sources/Drapeaux/Oceanie/Vanuatu.png
Vatican City,https://www.sport-histoire.fr/Sources/Drapeaux/Europe/Vatican.png
Venezuela,https://www.sport-histoire.fr/Sources/Drapeaux/Amerique/Venezuela.png
Vietnam,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Viet_Nam.png
Yemen,https://www.sport-histoire.fr/Sources/Drapeaux/Asie/Yemen.png
Zambia,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Zambie.png
Zimbabwe,https://www.sport-histoire.fr/Sources/Drapeaux/Afrique/Zimbabwe.png
